l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
1.0,8.0,4.0,1024.0,1.0,32.0,1112.25,2.3040000000000003,1114.554,3.119430296,224.9455442368
16.0,16.0,1.0,256.0,2.0,16.0,516.5,16.384,532.884,3.138521624,105.81081729920001
128.0,128.0,1.0,1024.0,1.0,32.0,3076.25,0.0,3076.25,2.749561536,617.4496492288
8.0,1.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,3.143802088,222.5650416704
16.0,16.0,2.0,1024.0,4.0,16.0,1289.0,65.536,1354.536,2.705732776,259.9645862208
64.0,16.0,2.0,128.0,8.0,128.0,778.0,10.496,788.496,2.6118986719999997,157.6895189376
64.0,64.0,2.0,512.0,8.0,128.0,1546.0,17.408,1563.408,1.826013848,310.66081107840006
16.0,16.0,2.0,512.0,2.0,128.0,776.5,8.192,784.692,1.952354808,156.86188384640002
2.0,2.0,2.0,8.0,8.0,128.0,50.0,0.528,50.528,5.342682496,14.274145996800002
8.0,8.0,1.0,1024.0,1.0,32.0,1156.25,0.0,1156.25,2.943939936,233.6051519488
64.0,64.0,2.0,512.0,2.0,128.0,1544.5,20.48,1564.98,1.9050216880000002,310.42401735040005
16.0,16.0,1.0,512.0,8.0,16.0,774.0,8.192,782.192,2.989615224,157.1916921792
8.0,8.0,4.0,1024.0,4.0,32.0,1169.0,20.48,1189.48,2.780331256,236.02426500480001
8.0,1.0,4.0,1024.0,4.0,32.0,1113.0,18.688000000000002,1131.688,2.894651392,224.91572111360003
8.0,1.0,1.0,1024.0,4.0,32.0,1101.0,16.384,1117.384,3.041745448,222.6333963584
16.0,16.0,1.0,512.0,4.0,16.0,773.0,16.384,789.384,2.991245784,156.99299662720003
8.0,1.0,4.0,128.0,1.0,32.0,216.25,2.3040000000000003,218.554,3.646592352,46.167273881599996
64.0,16.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,2.660050032,157.4280400256
16.0,64.0,8.0,512.0,8.0,128.0,1186.0,3.584,1189.584,1.82659876,238.661279008
16.0,16.0,2.0,1024.0,8.0,16.0,1290.0,49.152,1339.152,2.703603976,260.1628831808
16.0,64.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,2.5693381200000003,162.15547049600002
4.0,4.0,8.0,512.0,8.0,16.0,610.0,10.24,620.24,3.114472584,124.4915780672
1.0,8.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,3.539749072,43.8317992576
1.0,1.0,1.0,1024.0,4.0,32.0,1045.0,16.384,1061.384,3.271877464,211.6175019712
16.0,16.0,2.0,512.0,4.0,16.0,777.0,49.152,826.152,2.964959816,157.7719678528
2.0,2.0,8.0,8.0,2.0,128.0,72.5,0.192,72.692,5.205024288,18.6640194304
2.0,4.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,3.31406924,116.651255392
16.0,16.0,2.0,256.0,2.0,16.0,520.5,49.152,569.652,3.111657896,106.58932631680001
1.0,8.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,3.182761072,222.5962088576
2.0,4.0,2.0,512.0,2.0,128.0,568.5,4.864,573.364,2.0916068880000003,115.37328551040001
